Wall time,Step,Value
1780231006.0373738,8192,330.28570556640625
1780231070.3141654,16384,315.53192138671875
1780231137.4551227,24576,308.3783874511719
1780231209.4577644,32768,307.7200012207031
1780231273.378112,40960,309.4800109863281
1780231354.0496686,49152,313.8699951171875
1780231426.4091625,57344,323.7300109863281
1780231543.4659736,65536,325.20001220703125
1780231682.4078925,73728,315.3599853515625
1780231832.8155718,81920,312.9599914550781
1780232000.6060777,90112,309.3299865722656
1780232118.1108289,98304,318.0400085449219
1780232270.5903244,106496,324.5299987792969
1780232434.2809505,114688,318.9100036621094
1780232573.5730073,122880,320.989990234375
1780232688.8995638,131072,316.2099914550781
1780232813.3078866,139264,311.7300109863281
1780232983.191547,147456,317.7799987792969
1780233152.5397515,155648,305.4200134277344
1780233224.96202,163840,308.239990234375
1780233301.786744,172032,300.3500061035156
1780233376.8922875,180224,318.1300048828125
1780233446.9159832,188416,335.30999755859375
1780233510.3405335,196608,336.2699890136719
1780233578.638415,204800,356.9100036621094
1780233649.2388976,212992,358.8299865722656
1780233713.9690926,221184,354.739990234375
1780233786.1589558,229376,348.260009765625
1780233855.0091333,237568,343.94000244140625
1780233924.8472044,245760,345.6000061035156
1780233989.559661,253952,341.94000244140625
1780234072.7686348,262144,332.3900146484375
1780234135.5971932,270336,327.3399963378906
1780234203.974542,278528,331.79998779296875
1780234275.9822874,286720,315.2300109863281
1780234346.8719637,294912,331.6400146484375
1780234407.241199,303104,332.25
1780234487.5806208,311296,322.3900146484375
1780234550.0449443,319488,331.2900085449219
1780234612.593306,327680,338.6600036621094
1780234686.0237358,335872,321.80999755859375
1780234752.3251996,344064,332.6099853515625
1780234810.5493543,352256,343.6300048828125
1780234878.2732794,360448,332.010009765625
1780234946.3572016,368640,336.0
1780235018.82954,376832,333.8900146484375
1780235089.5217648,385024,327.1600036621094
1780235164.3727748,393216,323.2300109863281
1780235230.0767896,401408,322.3800048828125
1780235297.751874,409600,328.79998779296875
1780235365.5053587,417792,326.239990234375
1780235431.1012022,425984,333.7200012207031
1780235496.7627463,434176,334.4599914550781
1780235566.9343486,442368,327.2900085449219
1780235649.1723037,450560,321.2099914550781
1780235712.9008281,458752,315.70001220703125
1780235782.3562768,466944,315.2099914550781
1780235853.5404122,475136,314.4200134277344
1780235933.3531764,483328,312.17999267578125
1780236015.9175982,491520,303.6300048828125
1780236091.047318,499712,285.1000061035156
1780236157.364805,507904,288.17999267578125
1780236230.9924576,516096,300.57000732421875
1780236293.7783284,524288,314.1000061035156
1780236377.4704819,532480,317.7200012207031
1780236444.0263712,540672,318.25
1780236516.2853708,548864,315.80999755859375
1780236584.0976045,557056,307.0400085449219
1780236655.3653402,565248,315.6499938964844
1780236725.837286,573440,321.6600036621094
1780236801.311463,581632,315.20001220703125
1780236873.0735228,589824,312.6499938964844
1780236942.1034644,598016,309.7900085449219
1780237011.3632243,606208,317.5199890136719
1780237077.0617998,614400,327.6700134277344
1780237142.9410493,622592,329.6199951171875
1780237217.0222404,630784,324.2300109863281
1780237291.137432,638976,320.6700134277344
1780237356.8877146,647168,320.79998779296875
1780237429.5641606,655360,317.9200134277344
1780237494.806623,663552,332.8299865722656
1780237564.9111152,671744,340.82000732421875
1780237639.811704,679936,335.0400085449219
1780237699.4963062,688128,342.5400085449219
1780237760.3868847,696320,339.32000732421875
1780237830.792291,704512,337.2099914550781
1780237900.401008,712704,337.8599853515625
1780237973.9577167,720896,322.3800048828125
